model,preset,gender,image_index,image_name,ranker_recognizer,source_gallery_member_path,source_gallery_distance,source_match_top1,source_match_top5,top1_ranker_distance,top1_gallery_member_path
hyperswap_1a_256,preset_B,male,3,male3.png,arcface,ffhq/Part1/00015.png,1.0163999795913696,False,False,0.2508113384246826,ffhq/Part1/00082.png
hyperswap_1a_256,preset_B,male,3,male3.png,adaface,ffhq/Part1/00015.png,1.0130376815795898,False,False,0.3285858631134033,ffhq/Part1/00082.png
hyperswap_1a_256,preset_B,male,4,male4.png,arcface,ffhq/Part1/00029.png,0.930029034614563,False,False,0.19603300094604492,ffhq/Part1/00082.png
hyperswap_1a_256,preset_B,male,4,male4.png,adaface,ffhq/Part1/00029.png,0.9818135499954224,False,False,0.21683567762374878,ffhq/Part1/00082.png
hyperswap_1a_256,preset_B,male,5,male5.png,arcface,ffhq/Part1/00036.png,1.0151617527008057,False,False,0.1824207305908203,ffhq/Part1/00082.png
hyperswap_1a_256,preset_B,male,5,male5.png,adaface,ffhq/Part1/00036.png,1.0407679080963135,False,False,0.23832571506500244,ffhq/Part1/00082.png
hyperswap_1a_256,preset_C,female,1,female1.png,arcface,ffhq/Part1/00018.png,1.0385295152664185,False,False,0.2499932050704956,ffhq/Part1/00128.png
hyperswap_1a_256,preset_C,female,1,female1.png,adaface,ffhq/Part1/00018.png,0.9836288690567017,False,False,0.2202472686767578,ffhq/Part1/00128.png
hyperswap_1a_256,preset_C,female,2,female2.png,arcface,ffhq/Part1/00041.png,0.8902624845504761,False,False,0.19485217332839966,ffhq/Part1/00128.png
hyperswap_1a_256,preset_C,female,2,female2.png,adaface,ffhq/Part1/00041.png,0.87265545129776,False,False,0.21903902292251587,ffhq/Part1/00128.png
hyperswap_1a_256,preset_C,female,3,female3.png,arcface,ffhq/Part1/00059.png,0.9733567833900452,False,False,0.20574402809143066,ffhq/Part1/00128.png
hyperswap_1a_256,preset_C,female,3,female3.png,adaface,ffhq/Part1/00059.png,0.9313438534736633,False,False,0.22231769561767578,ffhq/Part1/00128.png
hyperswap_1a_256,preset_C,female,4,female4.png,arcface,ffhq/Part1/00077.png,0.9763853549957275,False,False,0.22734904289245605,ffhq/Part1/00128.png
hyperswap_1a_256,preset_C,female,4,female4.png,adaface,ffhq/Part1/00077.png,0.9689947962760925,False,False,0.22507572174072266,ffhq/Part1/00128.png
hyperswap_1a_256,preset_C,female,5,female5.png,arcface,ffhq/Part1/00081.png,1.0175307989120483,False,False,0.2330261468887329,ffhq/Part1/00128.png
hyperswap_1a_256,preset_C,female,5,female5.png,adaface,ffhq/Part1/00081.png,0.9654960632324219,False,False,0.25403547286987305,ffhq/Part1/00128.png
hyperswap_1a_256,preset_C,male,1,male1.png,arcface,ffhq/Part1/00011.png,1.0375539064407349,False,False,0.1965806484222412,ffhq/Part1/00082.png
hyperswap_1a_256,preset_C,male,1,male1.png,adaface,ffhq/Part1/00011.png,1.038500428199768,False,False,0.22223567962646484,ffhq/Part1/00082.png
hyperswap_1a_256,preset_C,male,2,male2.png,arcface,ffhq/Part1/00012.png,0.9121015071868896,False,False,0.2887793779373169,ffhq/Part1/00082.png
hyperswap_1a_256,preset_C,male,2,male2.png,adaface,ffhq/Part1/00012.png,0.8874940872192383,False,False,0.3264538645744324,ffhq/Part1/00082.png
hyperswap_1a_256,preset_C,male,3,male3.png,arcface,ffhq/Part1/00015.png,0.979337751865387,False,False,0.2495518922805786,ffhq/Part1/00082.png
hyperswap_1a_256,preset_C,male,3,male3.png,adaface,ffhq/Part1/00015.png,0.9849684238433838,False,False,0.3178365230560303,ffhq/Part1/00082.png
