model,preset,preset_label,gender,image_index,image_name,original_path,reference_path,modified_path,recognizer,cos_distance_original_modified,cos_distance_reference_modified,cos_similarity_original_modified,cos_similarity_reference_modified,identity_replacement_score
hyperswap_1a_256,preset_A,A - baseline,male,3,male3.png,/srv/filaka-shared/diploma-new/test-img/male3.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/male/male3.png,arcface,0.9599172472953796,0.23387682437896729,0.04008275270462036,0.7661231756210327,0.7260404229164124
hyperswap_1a_256,preset_A,A - baseline,male,3,male3.png,/srv/filaka-shared/diploma-new/test-img/male3.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/male/male3.png,adaface,0.9695557951927185,0.30775195360183716,0.030444204807281494,0.6922480463981628,0.6618038415908813
hyperswap_1a_256,preset_A,A - baseline,male,4,male4.png,/srv/filaka-shared/diploma-new/test-img/male4.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/male/male4.png,arcface,0.8853428363800049,0.18500447273254395,0.11465716361999512,0.814995527267456,0.7003383636474609
hyperswap_1a_256,preset_A,A - baseline,male,4,male4.png,/srv/filaka-shared/diploma-new/test-img/male4.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/male/male4.png,adaface,0.9394005537033081,0.20683348178863525,0.060599446296691895,0.7931665182113647,0.7325670719146729
hyperswap_1a_256,preset_A,A - baseline,male,5,male5.png,/srv/filaka-shared/diploma-new/test-img/male5.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/male/male5.png,arcface,0.9561001658439636,0.16519618034362793,0.04389983415603638,0.8348038196563721,0.7909039855003357
hyperswap_1a_256,preset_A,A - baseline,male,5,male5.png,/srv/filaka-shared/diploma-new/test-img/male5.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_A/male/male5.png,adaface,1.0181353092193604,0.21614491939544678,-0.01813530921936035,0.7838550806045532,0.8019903898239136
hyperswap_1a_256,preset_B,B - strong identity replacement,female,1,female1.png,/srv/filaka-shared/diploma-new/test-img/female1.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/female/female1.png,arcface,1.092142105102539,0.23676800727844238,-0.09214210510253906,0.7632319927215576,0.8553740978240967
hyperswap_1a_256,preset_B,B - strong identity replacement,female,1,female1.png,/srv/filaka-shared/diploma-new/test-img/female1.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/female/female1.png,adaface,1.0345712900161743,0.21539878845214844,-0.034571290016174316,0.7846012115478516,0.8191725015640259
hyperswap_1a_256,preset_B,B - strong identity replacement,female,2,female2.png,/srv/filaka-shared/diploma-new/test-img/female2.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/female/female2.png,arcface,0.9302750825881958,0.1823483109474182,0.0697249174118042,0.8176516890525818,0.7479267716407776
hyperswap_1a_256,preset_B,B - strong identity replacement,female,2,female2.png,/srv/filaka-shared/diploma-new/test-img/female2.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/female/female2.png,adaface,0.9077882766723633,0.21580779552459717,0.09221172332763672,0.7841922044754028,0.6919804811477661
